PARAMETERS,PM10,PM2.5_,SO2,CO_,NO,NO2_,NOX,NH3_,O3_,BEN_,TOLU_,ETHYL,MP_,OXY_,WS,WD,TC_,RH_,SR_,RG_,AQI
UNIT,?g/m3,?g/m3,?g/m3,mg/m3,?g/m3,?g/m3,?g/m3,?g/m3,?g/m3,?g/m3,?g/m3,?g/m3,?g/m3,?g/m3,m/s,degre-----,degreC,%,W/m2,m m,
1/1/2023,100.13,31.74,2.07,0.4,12.18,16.43,25.95,9,61.43,0.96,1.46,0,0,0,1.61,261.44,26.74,71.47,278.92,0,100
2/1/2023,91.88,39.41,1.05,0.52,12.24,16.37,26.09,8.99,61.96,0.96,1.45,0,0,0,1.96,261.24,26.87,58.22,280.71,0,92
3/1/2023,96.49,36.66,1.77,0.4,12.22,16.49,26.18,9,61.77,0.96,1.46,0,0,0,1.68,260.83,26.65,60.1,277.75,0,96
4/1/2023,116.27,27.91,3.03,0.52,12.15,16.4,26.14,8.98,61.17,0.96,1.45,0,0,0,1.78,260.77,26.96,57.47,281.91,0,111
5/1/2023,105.45,32.49,4.66,0.42,12.18,16.5,26.16,9.01,61.41,0.96,1.46,0,0,0,2.06,260.93,27.25,57.3,285.72,0,104
6/1/2023,117.53,42.58,3.95,0.39,12.19,16.56,26.08,8.98,61.55,0.96,1.46,0,0,0,2.4,261.18,28.13,52.67,297.3,0,112
7/1/2023,119.98,42.58,2.83,0.48,12.19,16.54,26.33,9.06,61.58,0.96,1.46,0,0,0,2.17,261.03,28.38,52.47,300.58,0,113
8/1/2023,177.73,42.65,8.83,0.64,12.22,16.57,25.99,8.96,61.79,0.96,1.46,0,0,0,1.7,260.61,27.88,58.32,294,0,152
9/1/2023,196.34,42.65,4.96,0.71,12.22,16.55,26.03,8.99,61.78,0.96,1.46,0,0,0,1.69,260.78,27.26,61.56,285.8,0,164
10/1/2023,127.59,42.5,6.97,0.43,12.17,16.54,26.1,9,61.32,0.96,1.46,0,0,0,2.03,260.79,26.73,52.89,278.83,0,118
11/1/2023,124.09,47.49,3.92,0.64,12.21,16.61,26.14,9.01,50.81,0.96,1.46,0,0,0,1.67,260.83,26.04,59.55,269.77,0,116
12/1/2023,153.21,26.28,6.33,0.67,12.23,16.4,26.17,8.97,25.8,0.96,1.45,0,0,0,1.62,261.69,25.53,66.35,263.01,0,135
13-01-2023,152.89,38.76,8.9,1.24,8.17,12.69,19.21,6.63,33.13,0.96,1.46,0,0,0,1.52,262.25,24.68,71.95,251.76,0.01,104
14-01-2023,120.41,65.12,3.19,1.4,5.2,9.91,14.2,5.02,38.63,0.96,1.46,0,0,0,1.63,261.34,26.1,63.43,270.52,0,117
15-01-2023,131.06,64.7,3.54,1.18,5.17,9.91,13.95,5.03,38.39,0.96,1.46,0,0,0,1.6,260.41,25.86,66.58,267.35,0.05,121
16-01-2023,131.01,65.32,6.65,0.98,5.21,9.8,14.03,4.98,38.74,0.96,1.45,0,0,0,1.59,260.11,26.58,65.93,276.91,0.03,121
17-01-2023,111.56,64.95,5.24,0.72,5.19,10,14.14,5,38.53,0.96,1.46,0,0,0,1.67,260.61,26.87,61.24,280.69,0,117
